Ramal,Id Origen,Origen,Id Destino,Destino,Pax,lon_origen,lat_origen,lon_destino,lat_destino,dist_retiro
Retiro - Tigre,5,Vicente Lopez,39,L. de la Torre,10640,"-58,4728","-34,5242","-58,4367","-34,5625","12,475"
Retiro - Tigre,5,Vicente Lopez,40,Belgrano C,76380,"-58,4728","-34,5242","-58,4495","-34,5584","12,475"
Retiro - Tigre,5,Vicente Lopez,41,Nuñez,10096,"-58,4728","-34,5242","-58,4624","-34,5489","12,475"
Retiro - Tigre,5,Vicente Lopez,42,Rivadavia,4577,"-58,4728","-34,5242","-58,4683","-34,5362","12,475"
Retiro - Tigre,5,Vicente Lopez,43,Vicente Lopez,1599,"-58,4728","-34,5242","-58,4728","-34,5242","12,475"
Retiro - Tigre,5,Vicente Lopez,44,Olivos,8899,"-58,4728","-34,5242","-58,4801","-34,5082","12,475"
Retiro - Tigre,5,Vicente Lopez,45,La Lucila,5322,"-58,4728","-34,5242","-58,4887","-34,4972","12,475"
Retiro - Tigre,5,Vicente Lopez,46,Martinez,22124,"-58,4728","-34,5242","-58,4970","-34,4877","12,475"
Retiro - Tigre,5,Vicente Lopez,47,Acassuso,5753,"-58,4728","-34,5242","-58,5038","-34,4797","12,475"
Retiro - Tigre,5,Vicente Lopez,48,San Isidro,36897,"-58,4728","-34,5242","-58,5138","-34,4714","12,475"
Retiro - Tigre,5,Vicente Lopez,49,Beccar,5147,"-58,4728","-34,5242","-58,5261","-34,4612","12,475"
Retiro - Tigre,5,Vicente Lopez,50,Victoria,4170,"-58,4728","-34,5242","-58,5408","-34,4566","12,475"
Retiro - Tigre,5,Vicente Lopez,51,Virreyes,5574,"-58,4728","-34,5242","-58,5506","-34,4507","12,475"
Retiro - Tigre,5,Vicente Lopez,52,San Fernando,5192,"-58,4728","-34,5242","-58,5592","-34,4439","12,475"
Retiro - Tigre,5,Vicente Lopez,53,Carupa,4085,"-58,4728","-34,5242","-58,5671","-34,4377","12,475"
Retiro - Tigre,5,Vicente Lopez,54,Tigre,20817,"-58,4728","-34,5242","-58,5819","-34,4235","12,475"
Retiro - Tigre,6,Olivos,38,Retiro (Tigre),198092,"-58,4801","-34,5082","-58,3752","-34,5913","14,371"
Retiro - Tigre,6,Olivos,39,L. de la Torre,13176,"-58,4801","-34,5082","-58,4367","-34,5625","14,371"
Retiro - Tigre,6,Olivos,40,Belgrano C,85490,"-58,4801","-34,5082","-58,4495","-34,5584","14,371"
Retiro - Tigre,6,Olivos,41,Nuñez,12598,"-58,4801","-34,5082","-58,4624","-34,5489","14,371"
Retiro - Tigre,6,Olivos,42,Rivadavia,13740,"-58,4801","-34,5082","-58,4683","-34,5362","14,371"
Retiro - Tigre,6,Olivos,43,Vicente Lopez,9694,"-58,4801","-34,5082","-58,4728","-34,5242","14,371"
Retiro - Tigre,6,Olivos,44,Olivos,3158,"-58,4801","-34,5082","-58,4801","-34,5082","14,371"
Retiro - Tigre,6,Olivos,45,La Lucila,4444,"-58,4801","-34,5082","-58,4887","-34,4972","14,371"
Retiro - Tigre,6,Olivos,46,Martinez,29038,"-58,4801","-34,5082","-58,4970","-34,4877","14,371"
Retiro - Tigre,6,Olivos,47,Acassuso,5496,"-58,4801","-34,5082","-58,5038","-34,4797","14,371"
Retiro - Tigre,6,Olivos,48,San Isidro,42024,"-58,4801","-34,5082","-58,5138","-34,4714","14,371"
Retiro - Tigre,6,Olivos,49,Beccar,4505,"-58,4801","-34,5082","-58,5261","-34,4612","14,371"
Retiro - Tigre,6,Olivos,50,Victoria,3397,"-58,4801","-34,5082","-58,5408","-34,4566","14,371"
Retiro - Tigre,6,Olivos,51,Virreyes,6644,"-58,4801","-34,5082","-58,5506","-34,4507","14,371"
Retiro - Tigre,6,Olivos,52,San Fernando,4312,"-58,4801","-34,5082","-58,5592","-34,4439","14,371"
Retiro - Tigre,6,Olivos,53,Carupa,5246,"-58,4801","-34,5082","-58,5671","-34,4377","14,371"
Retiro - Tigre,6,Olivos,54,Tigre,20773,"-58,4801","-34,5082","-58,5819","-34,4235","14,371"
Retiro - Tigre,7,La Lucila,38,Retiro (Tigre),142063,"-58,4887","-34,4972","-58,3752","-34,5913","15,840"
Retiro - Tigre,7,La Lucila,39,L. de la Torre,6735,"-58,4887","-34,4972","-58,4367","-34,5625","15,840"
Retiro - Tigre,7,La Lucila,40,Belgrano C,45890,"-58,4887","-34,4972","-58,4495","-34,5584","15,840"
Retiro - Tigre,7,La Lucila,41,Nuñez,6272,"-58,4887","-34,4972","-58,4624","-34,5489","15,840"
Retiro - Tigre,7,La Lucila,42,Rivadavia,6819,"-58,4887","-34,4972","-58,4683","-34,5362","15,840"
Retiro - Tigre,7,La Lucila,43,Vicente Lopez,6154,"-58,4887","-34,4972","-58,4728","-34,5242","15,840"
Retiro - Tigre,7,La Lucila,44,Olivos,4104,"-58,4887","-34,4972","-58,4801","-34,5082","15,840"
Retiro - Tigre,7,La Lucila,45,La Lucila,575,"-58,4887","-34,4972","-58,4887","-34,4972","15,840"
Retiro - Tigre,7,La Lucila,46,Martinez,12265,"-58,4887","-34,4972","-58,4970","-34,4877","15,840"
Retiro - Tigre,7,La Lucila,47,Acassuso,2241,"-58,4887","-34,4972","-58,5038","-34,4797","15,840"
Retiro - Tigre,7,La Lucila,48,San Isidro,28452,"-58,4887","-34,4972","-58,5138","-34,4714","15,840"
Retiro - Tigre,7,La Lucila,49,Beccar,1829,"-58,4887","-34,4972","-58,5261","-34,4612","15,840"
Retiro - Tigre,7,La Lucila,50,Victoria,2444,"-58,4887","-34,4972","-58,5408","-34,4566","15,840"
Retiro - Tigre,7,La Lucila,51,Virreyes,3937,"-58,4887","-34,4972","-58,5506","-34,4507","15,840"
Retiro - Tigre,7,La Lucila,52,San Fernando,2584,"-58,4887","-34,4972","-58,5592","-34,4439","15,840"
Retiro - Tigre,7,La Lucila,53,Carupa,2441,"-58,4887","-34,4972","-58,5671","-34,4377","15,840"
Retiro - Tigre,7,La Lucila,54,Tigre,12951,"-58,4887","-34,4972","-58,5819","-34,4235","15,840"
Retiro - Tigre,8,Martinez,38,Retiro (Tigre),279252,"-58,4970","-34,4877","-58,3752","-34,5913","17,169"
Retiro - Tigre,8,Martinez,39,L. de la Torre,22130,"-58,4970","-34,4877","-58,4367","-34,5625","17,169"
Retiro - Tigre,8,Martinez,40,Belgrano C,142231,"-58,4970","-34,4877","-58,4495","-34,5584","17,169"
Retiro - Tigre,8,Martinez,41,Nuñez,27710,"-58,4970","-34,4877","-58,4624","-34,5489","17,169"
Retiro - Tigre,8,Martinez,42,Rivadavia,26122,"-58,4970","-34,4877","-58,4683","-34,5362","17,169"
Retiro - Tigre,8,Martinez,43,Vicente Lopez,27059,"-58,4970","-34,4877","-58,4728","-34,5242","17,169"
Retiro - Tigre,8,Martinez,44,Olivos,35259,"-58,4970","-34,4877","-58,4801","-34,5082","17,169"
Retiro - Tigre,8,Martinez,45,La Lucila,19199,"-58,4970","-34,4877","-58,4887","-34,4972","17,169"
Retiro - Tigre,8,Martinez,46,Martinez,4186,"-58,4970","-34,4877","-58,4970","-34,4877","17,169"
Retiro - Tigre,8,Martinez,47,Acassuso,9601,"-58,4970","-34,4877","-58,5038","-34,4797","17,169"
Retiro - Tigre,8,Martinez,48,San Isidro,61411,"-58,4970","-34,4877","-58,5138","-34,4714","17,169"
Retiro - Tigre,8,Martinez,49,Beccar,13841,"-58,4970","-34,4877","-58,5261","-34,4612","17,169"
Retiro - Tigre,8,Martinez,50,Victoria,14848,"-58,4970","-34,4877","-58,5408","-34,4566","17,169"
Retiro - Tigre,8,Martinez,51,Virreyes,26727,"-58,4970","-34,4877","-58,5506","-34,4507","17,169"
Retiro - Tigre,8,Martinez,52,San Fernando,22090,"-58,4970","-34,4877","-58,5592","-34,4439","17,169"
Retiro - Tigre,8,Martinez,53,Carupa,25334,"-58,4970","-34,4877","-58,5671","-34,4377","17,169"
Retiro - Tigre,8,Martinez,54,Tigre,44205,"-58,4970","-34,4877","-58,5819","-34,4235","17,169"
Retiro - Tigre,9,Acassuso,38,Retiro (Tigre),155743,"-58,5038","-34,4797","-58,3752","-34,5913","18,288"
Retiro - Tigre,9,Acassuso,39,L. de la Torre,11088,"-58,5038","-34,4797","-58,4367","-34,5625","18,288"
Retiro - Tigre,9,Acassuso,40,Belgrano C,78732,"-58,5038","-34,4797","-58,4495","-34,5584","18,288"
Retiro - Tigre,9,Acassuso,41,Nuñez,7591,"-58,5038","-34,4797","-58,4624","-34,5489","18,288"
Retiro - Tigre,9,Acassuso,42,Rivadavia,7265,"-58,5038","-34,4797","-58,4683","-34,5362","18,288"
Retiro - Tigre,9,Acassuso,43,Vicente Lopez,5764,"-58,5038","-34,4797","-58,4728","-34,5242","18,288"
Retiro - Tigre,9,Acassuso,44,Olivos,4950,"-58,5038","-34,4797","-58,4801","-34,5082","18,288"
Retiro - Tigre,9,Acassuso,45,La Lucila,2928,"-58,5038","-34,4797","-58,4887","-34,4972","18,288"
Retiro - Tigre,9,Acassuso,46,Martinez,8982,"-58,5038","-34,4797","-58,4970","-34,4877","18,288"
Retiro - Tigre,9,Acassuso,47,Acassuso,822,"-58,5038","-34,4797","-58,5038","-34,4797","18,288"
Retiro - Tigre,9,Acassuso,48,San Isidro,19620,"-58,5038","-34,4797","-58,5138","-34,4714","18,288"
Retiro - Tigre,9,Acassuso,49,Beccar,2730,"-58,5038","-34,4797","-58,5261","-34,4612","18,288"
Retiro - Tigre,9,Acassuso,50,Victoria,4173,"-58,5038","-34,4797","-58,5408","-34,4566","18,288"
Retiro - Tigre,9,Acassuso,51,Virreyes,2669,"-58,5038","-34,4797","-58,5506","-34,4507","18,288"
Retiro - Tigre,9,Acassuso,52,San Fernando,3022,"-58,5038","-34,4797","-58,5592","-34,4439","18,288"
Retiro - Tigre,9,Acassuso,53,Carupa,3248,"-58,5038","-34,4797","-58,5671","-34,4377","18,288"
Retiro - Tigre,9,Acassuso,54,Tigre,17876,"-58,5038","-34,4797","-58,5819","-34,4235","18,288"
Retiro - Tigre,10,San Isidro,38,Retiro (Tigre),412956,"-58,5138","-34,4714","-58,3752","-34,5913","19,549"
Retiro - Tigre,10,San Isidro,39,L. de la Torre,35330,"-58,5138","-34,4714","-58,4367","-34,5625","19,549"
Retiro - Tigre,10,San Isidro,40,Belgrano C,285902,"-58,5138","-34,4714","-58,4495","-34,5584","19,549"
Retiro - Tigre,10,San Isidro,41,Nuñez,46127,"-58,5138","-34,4714","-58,4624","-34,5489","19,549"
Retiro - Tigre,10,San Isidro,42,Rivadavia,41882,"-58,5138","-34,4714","-58,4683","-34,5362","19,549"
Retiro - Tigre,10,San Isidro,43,Vicente Lopez,44113,"-58,5138","-34,4714","-58,4728","-34,5242","19,549"
Retiro - Tigre,10,San Isidro,44,Olivos,47513,"-58,5138","-34,4714","-58,4801","-34,5082","19,549"
Retiro - Tigre,10,San Isidro,45,La Lucila,35358,"-58,5138","-34,4714","-58,4887","-34,4972","19,549"
Retiro - Tigre,10,San Isidro,46,Martinez,81041,"-58,5138","-34,4714","-58,4970","-34,4877","19,549"
Retiro - Tigre,10,San Isidro,47,Acassuso,31531,"-58,5138","-34,4714","-58,5038","-34,4797","19,549"
Retiro - Tigre,10,San Isidro,48,San Isidro,9280,"-58,5138","-34,4714","-58,5138","-34,4714","19,549"
Retiro - Tigre,10,San Isidro,49,Beccar,38418,"-58,5138","-34,4714","-58,5261","-34,4612","19,549"
